"學年度","設立別","學程別","群科別","畢業生人數","農_林_漁_牧業人數","礦業及土石採取業人數","製造業人數","電力及燃氣供應業人數","用水供應及污染整治業人數","營建工程業人數","批發及零售業人數","運輸及倉儲業人數","住宿及餐飲業人數","出版影音及資通訊業人數","金融及保險業人數","不動產業人數","專業_科學及技術服務業人數","支援服務業人數","公共行政及國防_強制性社會安全人數","教育業人數","醫療保健及社會工作服務業人數","藝術_娛樂及休閒服務業人數","其他服務業人數","就業率","農_林_漁_牧業比率","礦業及土石採取業比率","製造業比率","電力及燃氣供應業比率","用水供應及污染整治業比率","營建工程業比率","批發及零售業比率","運輸及倉儲業比率","住宿及餐飲業比率","出版影音及資通訊業比率","金融及保險業比率","不動產業比率","專業_科學及技術服務業比率","支援服務業比率","公共行政及國防_強制性社會安全比率","教育業比率","醫療保健及社會工作服務業比率","藝術_娛樂及休閒服務業比率","其他服務業比率"
109,國立,普通科,學術群,23214,6,0,16,3,0,13,12,1,41,0,1,1,4,10,109,4,0,11,33,1.14155251141552,0.0258464719565779,0,0.0689239252175411,0.012923235978289,0,0.0560006892392522,0.0516929439131559,0.00430774532609632,0.176617558369949,0,0.00430774532609632,0.00430774532609632,0.0172309813043853,0.0430774532609632,0.469544240544499,0.0172309813043853,0,0.0473851985870595,0.142155595761179
109,國立,專業群科,機械群,2983,18,0,84,8,2,12,11,3,17,2,1,0,25,10,60,0,0,9,20,9.45357023131076,0.603419376466644,0,2.81595709017767,0.268186389540731,0.0670465973851827,0.402279584311096,0.368756285618505,0.100569896077774,0.569896077774053,0.0670465973851827,0.0335232986925914,0,0.838082467314784,0.335232986925914,2.01139792155548,0,0,0.301709688233322,0.670465973851827
109,國立,專業群科,動力機械群,908,14,1,32,1,0,17,5,8,7,1,0,1,45,16,61,0,0,3,27,26.3215859030837,1.54185022026432,0.110132158590308,3.52422907488987,0.110132158590308,0,1.87224669603524,0.550660792951542,0.881057268722467,0.770925110132159,0.110132158590308,0,0.110132158590308,4.95594713656388,1.76211453744493,6.71806167400881,0,0,0.330396475770925,2.97356828193833
109,國立,專業群科,電機與電子群,3429,13,0,52,25,0,20,8,0,28,1,0,0,24,11,90,0,0,0,19,8.48643919510061,0.379119276757072,0,1.51647710702829,0.729075532225139,0,0.583260425780111,0.233304170312044,0,0.816564596092155,0.0291630212890055,0,0,0.699912510936133,0.320793234179061,2.6246719160105,0,0,0,0.554097404491105
109,國立,專業群科,化工群,712,2,0,2,0,0,1,0,0,0,1,0,0,2,2,6,0,0,4,7,3.79213483146067,0.280898876404494,0,0.280898876404494,0,0,0.140449438202247,0,0,0,0.140449438202247,0,0,0.280898876404494,0.280898876404494,0.842696629213483,0,0,0.561797752808989,0.98314606741573
109,國立,專業群科,土木與建築群,819,2,0,3,1,0,28,2,4,8,0,0,0,1,0,21,0,0,0,9,9.64590964590965,0.244200244200244,0,0.366300366300366,0.122100122100122,0,3.41880341880342,0.244200244200244,0.488400488400488,0.976800976800977,0,0,0,0.122100122100122,0,2.56410256410256,0,0,0,1.0989010989011
109,國立,專業群科,商業與管理群,4972,8,0,25,1,0,10,13,9,68,1,3,0,10,16,66,0,1,3,15,5.00804505229284,0.160901045856798,0,0.502815768302494,0.0201126307320998,0,0.201126307320998,0.261464199517297,0.181013676588898,1.36765888978278,0.0201126307320998,0.0603378921962993,0,0.201126307320998,0.321802091713596,1.32743362831858,0,0.0201126307320998,0.0603378921962993,0.301689460981496
109,國立,專業群科,外語群,850,1,0,0,0,0,1,2,1,1,0,1,0,0,0,8,1,1,0,1,2.11764705882353,0.117647058823529,0,0,0,0,0.117647058823529,0.235294117647059,0.117647058823529,0.117647058823529,0,0.117647058823529,0,0,0,0.941176470588235,0.117647058823529,0.117647058823529,0,0.117647058823529
109,國立,專業群科,設計群,1083,2,0,5,1,0,6,9,0,10,0,1,0,1,5,7,0,0,1,4,4.80147737765466,0.184672206832872,0,0.461680517082179,0.0923361034164358,0,0.554016620498615,0.831024930747923,0,0.923361034164358,0,0.0923361034164358,0,0.0923361034164358,0.461680517082179,0.646352723915051,0,0,0.0923361034164358,0.369344413665743
109,國立,專業群科,農業群,1175,34,2,18,1,0,11,8,1,30,1,0,0,3,9,44,0,1,7,16,15.8297872340426,2.8936170212766,0.170212765957447,1.53191489361702,0.0851063829787234,0,0.936170212765957,0.680851063829787,0.0851063829787234,2.5531914893617,0.0851063829787234,0,0,0.25531914893617,0.765957446808511,3.74468085106383,0,0.0851063829787234,0.595744680851064,1.36170212765957
