學年度,設立別,學程別,群科別,畢業生人數,正在接受職業訓練人數,正在軍中服役人數,需要工作而未找到人數,補習或準備升學人數,健康不良在家休養人數,準備出國人數,其他人數,正在接受職業訓練比率,正在軍中服役比率,需要工作而未找到比率,補習或準備升學比率,健康不良在家休養比率,準備出國比率,其他比率
107,國立,普通科,普通科,25540,4,82,27,1211,3,8,19,0.02,0.32,0.11,4.74,0.01,0.03,0.07
107,國立,專業群科,機械群,3255,22,58,28,28,0,1,12,0.68,1.78,0.86,0.86,0,0.03,0.37
107,國立,專業群科,動力機械群,945,4,39,12,4,1,0,8,0.42,4.13,1.27,0.42,0.11,0,0.85
107,國立,專業群科,電機與電子群,3831,7,85,26,33,2,3,16,0.18,2.22,0.68,0.86,0.05,0.08,0.42
107,國立,專業群科,化工群,813,0,2,4,2,1,2,4,0,0.25,0.49,0.25,0.12,0.25,0.49
107,國立,專業群科,土木與建築群,951,3,19,7,7,1,0,5,0.32,2,0.74,0.74,0.11,0,0.53
107,國立,專業群科,商業與管理群,5594,5,36,36,47,3,6,9,0.09,0.64,0.64,0.84,0.05,0.11,0.16
107,國立,專業群科,外語群,910,0,3,0,5,0,0,0,0,0.33,0,0.55,0,0,0
107,國立,專業群科,設計群,1156,4,1,9,17,1,1,2,0.35,0.09,0.78,1.47,0.09,0.09,0.17
107,國立,專業群科,農業群,1428,9,18,36,8,0,1,6,0.63,1.26,2.52,0.56,0,0.07,0.42
107,國立,專業群科,食品群,1086,6,9,28,7,1,0,5,0.55,0.83,2.58,0.64,0.09,0,0.46
107,國立,專業群科,家政群,976,4,4,13,3,0,0,4,0.41,0.41,1.33,0.31,0,0,0.41
107,國立,專業群科,餐旅群,1233,4,3,25,2,1,1,2,0.32,0.24,2.03,0.16,0.08,0.08,0.16
107,國立,專業群科,水產群,205,3,13,5,1,0,0,2,1.46,6.34,2.44,0.49,0,0,0.98
107,國立,專業群科,海事群,288,10,20,4,1,0,0,0,3.47,6.94,1.39,0.35,0,0,0
107,國立,專業群科,藝術群,151,0,3,0,8,0,0,0,0,1.99,0,5.3,0,0,0
107,國立,專業群科,服務群,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,國立,專業群科,其他(綜合),630,38,1,94,4,7,0,12,6.03,0.16,14.92,0.63,1.11,0,1.9
107,國立,綜合高中,學術學程,3346,5,27,8,133,0,3,4,0.15,0.81,0.24,3.97,0,0.09,0.12
107,國立,綜合高中,機械群,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,國立,綜合高中,動力機械群,12,0,1,0,0,0,0,0,0,8.33,0,0,0,0,0
107,國立,綜合高中,電機與電子群,139,1,1,1,1,0,0,1,0.72,0.72,0.72,0.72,0,0,0.72
107,國立,綜合高中,化工群,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,國立,綜合高中,土木與建築群,81,1,0,0,0,0,0,0,1.23,0,0,0,0,0,0
107,國立,綜合高中,商業與管理群,537,0,5,5,3,0,0,0,0,0.93,0.93,0.56,0,0,0
107,國立,綜合高中,外語群,122,0,1,0,2,0,0,0,0,0.82,0,1.64,0,0,0
107,國立,綜合高中,設計群,128,0,0,3,1,0,0,0,0,0,2.34,0.78,0,0,0
107,國立,綜合高中,農業群,55,0,0,1,0,0,0,0,0,0,1.82,0,0,0,0
